"","CountryName","SurveyId","Sex","Reference_period","tips","est","ci_l","ci_u"
"AF2015DHS.1","Afghanistan","AF2015DHS","Males",1998-08-02,"14-20",0.106294888366123,0.0714601714932691,0.139822760381752
"AF2015DHS.2","Afghanistan","AF2015DHS","Females",1998-08-02,"14-20",0.114555224656573,0.0643719010622309,0.16204691685396
"AF2015DHS.3","Afghanistan","AF2015DHS","Males",2005-08-01,"7-13",0.0689361236617893,0.0553812114018314,0.0822965282022384
"AF2015DHS.4","Afghanistan","AF2015DHS","Females",2005-08-01,"7-13",0.0972157852806549,0.0772272155181603,0.116771374218542
"AF2015DHS.5","Afghanistan","AF2015DHS","Males",2012-08-01,"0-6",0.0844699925499571,0.076487228326475,0.0923837544525159
"AF2015DHS.6","Afghanistan","AF2015DHS","Females",2012-08-01,"0-6",0.119162223535186,0.103800902992707,0.134260243021463
"AO2015DHS.1","Angola","AO2015DHS","Males",1998-08-02,"14-20",0.201274197733025,0.14148579523242,0.256898833281699
"AO2015DHS.2","Angola","AO2015DHS","Females",1998-08-02,"14-20",0.148359575122618,0.10248442293246,0.191889888245641
"AO2015DHS.3","Angola","AO2015DHS","Males",2005-08-01,"7-13",0.179513065147438,0.143647513121159,0.213876504618596
"AO2015DHS.4","Angola","AO2015DHS","Females",2005-08-01,"7-13",0.124695721176706,0.0894605317433177,0.158567412796229
"AO2015DHS.5","Angola","AO2015DHS","Males",2012-08-01,"0-6",0.182052446465127,0.156903379936085,0.206451331422768
"AO2015DHS.6","Angola","AO2015DHS","Females",2012-08-01,"0-6",0.1103225876973,0.0904344327165437,0.129775877152396
"BF1999DHS.1","Burkina Faso","BF1999DHS","Males",1981-08-30,"14-20",0.116329064090222,0.079308257881076,0.151861272075145
"BF1999DHS.2","Burkina Faso","BF1999DHS","Females",1981-08-30,"14-20",0.0946167600821316,0.0392292535966332,0.146811230261971
"BF1999DHS.3","Burkina Faso","BF1999DHS","Males",1988-08-29,"7-13",0.156766322822474,0.121862836589566,0.190282493494702
"BF1999DHS.4","Burkina Faso","BF1999DHS","Females",1988-08-29,"7-13",0.123291487761768,0.0923455146187828,0.153182375220508
"BF1999DHS.5","Burkina Faso","BF1999DHS","Males",1995-08-30,"0-6",0.195786725389478,0.168542651233255,0.222138102430533
"BF1999DHS.6","Burkina Faso","BF1999DHS","Females",1995-08-30,"0-6",0.166162820489801,0.139770039161283,0.191745842872495
"BF2003DHS.1","Burkina Faso","BF2003DHS","Males",1986-05-02,"14-20",0.197014463095763,0.0725625583826486,0.304766290917748
"BF2003DHS.2","Burkina Faso","BF2003DHS","Females",1986-05-02,"14-20",0.20470945840019,0.116374030240793,0.284214059789942
"BF2003DHS.3","Burkina Faso","BF2003DHS","Males",1993-05-01,"7-13",0.150660567249219,0.124632840337388,0.175914398818142
"BF2003DHS.4","Burkina Faso","BF2003DHS","Females",1993-05-01,"7-13",0.139809797502053,0.108590521695345,0.169935700166995
"BF2003DHS.5","Burkina Faso","BF2003DHS","Males",2000-05-01,"0-6",0.199738743067054,0.177770547061448,0.221119996298943
"BF2003DHS.6","Burkina Faso","BF2003DHS","Females",2000-05-01,"0-6",0.15781364280543,0.13796569406012,0.177204601536906
"BF2010DHS.1","Burkina Faso","BF2010DHS","Males",1993-07-02,"14-20",0.20852474313638,0.156991947977034,0.256907356075566
"BF2010DHS.2","Burkina Faso","BF2010DHS","Females",1993-07-02,"14-20",0.174240424407693,0.122353932654559,0.223059383442779
"BF2010DHS.3","Burkina Faso","BF2010DHS","Males",2000-07-01,"7-13",0.200940196419568,0.17192338780645,0.228940220873235
"BF2010DHS.4","Burkina Faso","BF2010DHS","Females",2000-07-01,"7-13",0.160675776864652,0.134977905922716,0.185610221559478
"BF2010DHS.5","Burkina Faso","BF2010DHS","Males",2007-07-02,"0-6",0.144650962404227,0.130739901569867,0.158339399867416
"BF2010DHS.6","Burkina Faso","BF2010DHS","Females",2007-07-02,"0-6",0.146164548573899,0.131295871046461,0.160778734883848
"BF2021DHS.1","Burkina Faso","BF2021DHS","Males",2004-06-01,"14-20",0.134087492842257,0.0943404913556231,0.172090103515237
"BF2021DHS.2","Burkina Faso","BF2021DHS","Females",2004-06-01,"14-20",0.0857333156065874,0.0600681477201497,0.110697687109711
"BF2021DHS.3","Burkina Faso","BF2021DHS","Males",2011-06-01,"7-13",0.087761742815627,0.0716588061301273,0.103585359169756
"BF2021DHS.4","Burkina Faso","BF2021DHS","Females",2011-06-01,"7-13",0.0839724153293882,0.0689768699732933,0.0987264345909376
"BF2021DHS.5","Burkina Faso","BF2021DHS","Males",2018-06-01,"0-6",0.100418003607721,0.0887860686064039,0.111901453267437
"BF2021DHS.6","Burkina Faso","BF2021DHS","Females",2018-06-01,"0-6",0.076317467149978,0.0658767302305769,0.0866415074930834
"BJ1996DHS.1","Benin","BJ1996DHS","Males",1979-01-31,"14-20",0.108448973134228,0.077621694131851,0.138245957815235
"BJ1996DHS.2","Benin","BJ1996DHS","Females",1979-01-31,"14-20",0.181294734252661,0.081925234868537,0.269908794338291
"BJ1996DHS.3","Benin","BJ1996DHS","Males",1986-01-30,"7-13",0.146001250202069,0.110015795212006,0.180531676031081
"BJ1996DHS.4","Benin","BJ1996DHS","Females",1986-01-30,"7-13",0.101441010383071,0.0722683510361924,0.129696331128513
"BJ1996DHS.5","Benin","BJ1996DHS","Males",1993-01-30,"0-6",0.138980402835288,0.118274417811858,0.159200139274748
"BJ1996DHS.6","Benin","BJ1996DHS","Females",1993-01-30,"0-6",0.115715317025403,0.0966435749654857,0.134384414752341
"BJ2006DHS.1","Benin","BJ2006DHS","Males",1989-05-02,"14-20",0.13609493078758,0.0948822069173316,0.175431115911395
"BJ2006DHS.2","Benin","BJ2006DHS","Females",1989-05-02,"14-20",0.112528430775198,0.063893249169711,0.158636784230262
"BJ2006DHS.3","Benin","BJ2006DHS","Males",1996-05-01,"7-13",0.144604297657295,0.124264168069642,0.16447200067913
"BJ2006DHS.4","Benin","BJ2006DHS","Females",1996-05-01,"7-13",0.110010976111521,0.0916828660712325,0.127969259793701
"BJ2006DHS.5","Benin","BJ2006DHS","Males",2003-05-02,"0-6",0.161560468788631,0.146344266470109,0.176505446064194
"BJ2006DHS.6","Benin","BJ2006DHS","Females",2003-05-02,"0-6",0.126660037721718,0.114479478356805,0.138673050403279
"BJ2017DHS.1","Benin","BJ2017DHS","Males",2000-08-02,"14-20",0.146449268838893,0.0975484318173269,0.1927003327915
"BJ2017DHS.2","Benin","BJ2017DHS","Females",2000-08-02,"14-20",0.109579761234763,0.075574821229475,0.142333831000557
"BJ2017DHS.3","Benin","BJ2017DHS","Males",2007-08-02,"7-13",0.118925071665882,0.0995615133466708,0.137872224648872
"BJ2017DHS.4","Benin","BJ2017DHS","Females",2007-08-02,"7-13",0.0877300985833676,0.0735007936170508,0.101740867885078
"BJ2017DHS.5","Benin","BJ2017DHS","Males",2014-08-02,"0-6",0.152578687727568,0.137244647435947,0.167640190977297
"BJ2017DHS.6","Benin","BJ2017DHS","Females",2014-08-02,"0-6",0.110593356329391,0.0977140240986153,0.123288847512937
"BO1994DHS.1","Bolivia","BO1994DHS","Males",1976-10-30,"14-20",0.14541037840246,0.0892215385148667,0.198132748823082
"BO1994DHS.2","Bolivia","BO1994DHS","Females",1976-10-30,"14-20",0.129417402881792,0.0855600529153479,0.171171315490527
"BO1994DHS.3","Bolivia","BO1994DHS","Males",1983-10-30,"7-13",0.151170130783453,0.113144424277859,0.187565409071834
"BO1994DHS.4","Bolivia","BO1994DHS","Females",1983-10-30,"7-13",0.0956903248415599,0.0723123875419953,0.118479132842594
"BO1994DHS.5","Bolivia","BO1994DHS","Males",1990-10-30,"0-6",0.133910029087662,0.114164027018144,0.153215876761082
"BO1994DHS.6","Bolivia","BO1994DHS","Females",1990-10-30,"0-6",0.109625913846142,0.0887980298369541,0.129977722554238
"BO2003DHS.1","Bolivia","BO2003DHS","Males",1986-07-02,"14-20",0.120995793754701,0.0884431932504171,0.152385908507417
"BO2003DHS.2","Bolivia","BO2003DHS","Females",1986-07-02,"14-20",0.103183990967024,0.0732666968980655,0.132135479144026
"BO2003DHS.3","Bolivia","BO2003DHS","Males",1993-07-01,"7-13",0.0786729099405974,0.0655433019423778,0.0916180400421469
"BO2003DHS.4","Bolivia","BO2003DHS","Females",1993-07-01,"7-13",0.0810682289819902,0.0659200507328376,0.0959707459208362
"BO2003DHS.5","Bolivia","BO2003DHS","Males",2000-07-01,"0-6",0.105940402131683,0.0891661244542807,0.122405758062591
"BO2003DHS.6","Bolivia","BO2003DHS","Females",2000-07-01,"0-6",0.0859242662037728,0.073377432282591,0.0983012110601615
"BO2008DHS.1","Bolivia","BO2008DHS","Males",1990-12-01,"14-20",0.0992907836348834,0.0721834598595551,0.125606132951393
"BO2008DHS.2","Bolivia","BO2008DHS","Females",1990-12-01,"14-20",0.0892241713162418,0.0626320529600568,0.115061899935822
"BO2008DHS.3","Bolivia","BO2008DHS","Males",1997-11-30,"7-13",0.0845056798116013,0.0676691090821157,0.101038206004227
"BO2008DHS.4","Bolivia","BO2008DHS","Females",1997-11-30,"7-13",0.0688867940344133,0.0559974159565009,0.0816001809974248
"BO2008DHS.5","Bolivia","BO2008DHS","Males",2004-11-30,"0-6",0.0845918513552002,0.0736534154262706,0.0954011246331699
"BO2008DHS.6","Bolivia","BO2008DHS","Females",2004-11-30,"0-6",0.069327744697212,0.0579188583119923,0.0805984660318952
"BR1996DHS.1","Brazil","BR1996DHS","Males",1978-12-01,"14-20",0.120474770148992,0.0823006733619579,0.157060915824801
"BR1996DHS.2","Brazil","BR1996DHS","Females",1978-12-01,"14-20",0.0561081469797393,0.0374874091107422,0.0743686486481214
"BR1996DHS.3","Brazil","BR1996DHS","Males",1985-11-30,"7-13",0.0878336875582628,0.0737560437159571,0.101697370429697
"BR1996DHS.4","Brazil","BR1996DHS","Females",1985-11-30,"7-13",0.0417849086661343,0.0306836512246422,0.0527590271019364
"BR1996DHS.5","Brazil","BR1996DHS","Males",1992-11-30,"0-6",0.125447996414927,0.113225915327927,0.137501625053125
"BR1996DHS.6","Brazil","BR1996DHS","Females",1992-11-30,"0-6",0.0531856968831763,0.0443946999748412,0.0618958218806499
"BU2010DHS.1","Burundi","BU2010DHS","Males",1993-07-02,"14-20",0.48835650614622,0.390045173177748,0.570822209627029
"BU2010DHS.2","Burundi","BU2010DHS","Females",1993-07-02,"14-20",0.374536809061474,0.289150677028085,0.449666489681021
"BU2010DHS.3","Burundi","BU2010DHS","Males",2000-07-01,"7-13",0.238383607371425,0.201882089691293,0.27321574666054
"BU2010DHS.4","Burundi","BU2010DHS","Females",2000-07-01,"7-13",0.226807373174728,0.198225790623279,0.254370081769404
